term,score
language models,1.8965914977404374
large language,1.7503731844462307
prompt injection,1.163026283456132
models llms,1.0804909337208877
jailbreak attacks,0.9919361433506416
black box,0.9179111023607508
safety alignment,0.8959853305971663
adversarial attacks,0.8858606037878114
injection attacks,0.8484664752542015
fine tuning,0.8357396369336699
jailbreak prompts,0.8079200530154911
language model,0.7569364557236784
red teaming,0.6645947658258105
adversarial prompts,0.6482523952232389
success rate,0.611142078696461
state art,0.5928790584815049
open source,0.5780685921561165
attacks defenses,0.5550798834876651
attack success,0.5454912134349245
training data,0.5394815200266299
llm integrated,0.5324538719782657
aligned llms,0.5084494083323042
security privacy,0.5044927094666716
harmful content,0.4724855613245861
adversarial prompt,0.4627850050117899
multi modal,0.42680879394575627
llm self,0.4203687140879917
integrated applications,0.4168157453974476
self defense,0.4163601335231336
backdoor attack,0.40480538527235205
natural language,0.40128817870919375
llms generate,0.3993791755581801
produce harmful,0.39746857787774625
ai agents,0.39240441414678984
safety training,0.383844937138474
aligned language,0.3828093776724802
indirect prompt,0.3767242537033456
harmful outputs,0.37556314028851967
weak strong,0.37337679529765816
backdoor attacks,0.37047572072700696
success rates,0.3685828234770378
explicit normal,0.3597181050233091
paper propose,0.3561581942301322
attacks llms,0.35040249769512777
source llms,0.34539080529785976
white box,0.3432390944395461
llm platforms,0.3424993522556493
adversarial robustness,0.33386153154533943
adversarial images,0.33150359369418547
failure modes,0.32833700000662586
